time,SensorX0Y0Z0Axisx,SensorX0Y0Z0Axisy,SensorX0Y0Z0Axisz
"2020-12-23 19:36:44.856004",-0.129890441894531,0.459575653076172,-0.0893592834472656
"2020-12-23 19:36:45.136314",-0.129985809326172,0.459480285644531,-0.0896453857421875
"2020-12-23 19:36:45.420794",-0.130176544189453,0.459384918212891,-0.0896453857421875
"2020-12-23 19:36:45.711761",-0.130271911621094,0.459384918212891,-0.0904083251953125
"2020-12-23 19:36:46.015148",-0.130271911621094,0.459480285644531,-0.0904083251953125
"2020-12-23 19:36:46.323998",-0.130462646484375,0.459480285644531,-0.09002685546875
"2020-12-23 19:36:46.629780",-0.130462646484375,0.459384918212891,-0.0905036926269531
"2020-12-23 19:36:46.931058",-0.130558013916016,0.459098815917969,-0.0906944274902344
"2020-12-23 19:36:47.239378",-0.130748748779297,0.45928955078125,-0.0901222229003906
"2020-12-23 19:36:47.546312",-0.130748748779297,0.459194183349609,-0.0909805297851563
"2020-12-23 19:36:47.842992",-0.130748748779297,0.45928955078125,-0.090789794921875
"2020-12-23 19:36:48.135975",-0.130939483642578,0.45928955078125,-0.0905036926269531
"2020-12-23 19:36:48.427212",-0.131130218505859,0.45928955078125,-0.0908851623535156
"2020-12-23 19:36:48.717003",-0.131034851074219,0.459194183349609,-0.090789794921875
"2020-12-23 19:36:49.009442",-0.131320953369141,0.459194183349609,-0.0909805297851563
"2020-12-23 19:36:49.302878",-0.131320953369141,0.45928955078125,-0.0908851623535156
"2020-12-23 19:36:49.592942",-0.131511688232422,0.459194183349609,-0.0910758972167969
"2020-12-23 19:36:49.883056",-0.131416320800781,0.459194183349609,-0.0913619995117188
"2020-12-23 19:36:50.172424",-0.131797790527344,0.45928955078125,-0.0908851623535156
"2020-12-23 19:36:50.461361",-0.131797790527344,0.459194183349609,-0.0913619995117188
"2020-12-23 19:36:50.754129",-0.131797790527344,0.458908081054687,-0.0908851623535156
"2020-12-23 19:36:51.050051",-0.131797790527344,0.459003448486328,-0.0913619995117188
"2020-12-23 19:36:51.350792",-0.131702423095703,0.459003448486328,-0.091552734375
"2020-12-23 19:36:51.641770",-0.131988525390625,0.459098815917969,-0.0911712646484375
"2020-12-23 19:36:51.955471",-0.132083892822266,0.458908081054687,-0.0911712646484375
"2020-12-23 19:36:52.247662",-0.131988525390625,0.459003448486328,-0.0919342041015625
"2020-12-23 19:36:52.536906",-0.132179260253906,0.458908081054687,-0.091552734375
"2020-12-23 19:36:52.828114",-0.132179260253906,0.459098815917969,-0.0921249389648438
"2020-12-23 19:36:53.116618",-0.132083892822266,0.458908081054687,-0.0920295715332031
"2020-12-23 19:36:53.403946",-0.132274627685547,0.458908081054687,-0.0917434692382813
"2020-12-23 19:36:53.705387",-0.132465362548828,0.458812713623047,-0.0917434692382813
"2020-12-23 19:36:53.997831",-0.132560729980469,0.459003448486328,-0.0922203063964844
"2020-12-23 19:36:54.289728",-0.132656097412109,0.459003448486328,-0.0918388366699219
"2020-12-23 19:36:54.577568",-0.132846832275391,0.459003448486328,-0.092315673828125
"2020-12-23 19:36:54.866249",-0.133132934570313,0.458812713623047,-0.0926017761230469
"2020-12-23 19:36:55.154770",-0.133228302001953,0.458812713623047,-0.0919342041015625
"2020-12-23 19:36:55.471401",-0.133228302001953,0.458812713623047,-0.0921249389648438
"2020-12-23 19:36:55.763162",-0.133419036865234,0.458717346191406,-0.0926017761230469
"2020-12-23 19:36:56.053779",-0.133419036865234,0.458717346191406,-0.092315673828125
"2020-12-23 19:36:56.359427",-0.133609771728516,0.458812713623047,-0.092315673828125
"2020-12-23 19:36:56.664000",-0.133705139160156,0.458908081054687,-0.0927925109863281
"2020-12-23 19:36:56.985330",-0.133705139160156,0.459003448486328,-0.0926971435546875
"2020-12-23 19:36:57.279454",-0.133991241455078,0.458717346191406,-0.0928878784179688
"2020-12-23 19:36:57.570322",-0.134181976318359,0.458621978759766,-0.0926017761230469
"2020-12-23 19:36:57.860901",-0.134181976318359,0.458717346191406,-0.0926971435546875
"2020-12-23 19:36:58.153105",-0.13427734375,0.458812713623047,-0.0926017761230469
"2020-12-23 19:36:58.446278",-0.13427734375,0.458717346191406,-0.0928878784179688
"2020-12-23 19:36:58.736461",-0.134468078613281,0.458526611328125,-0.0928878784179688
"2020-12-23 19:36:59.024054",-0.134658813476563,0.458717346191406,-0.0927925109863281
"2020-12-23 19:36:59.318859",-0.134563446044922,0.458526611328125,-0.0932693481445313
"2020-12-23 19:36:59.613150",-0.134849548339844,0.458431243896484,-0.0932693481445313
"2020-12-23 19:36:59.902765",-0.134944915771484,0.458431243896484,-0.0932693481445313
"2020-12-23 19:37:00.190261",-0.135231018066406,0.458621978759766,-0.0928878784179688
"2020-12-23 19:37:00.477315",-0.135421752929688,0.459194183349609,-0.0929832458496094
"2020-12-23 19:37:00.771682",-0.13580322265625,0.459575653076172,-0.0929832458496094
"2020-12-23 19:37:01.069394",-0.136089324951172,0.459766387939453,-0.0935554504394531
"2020-12-23 19:37:01.375457",-0.136375427246094,0.459957122802734,-0.09307861328125
"2020-12-23 19:37:01.669273",-0.136280059814453,0.459766387939453,-0.0935554504394531
"2020-12-23 19:37:01.966510",-0.136661529541016,0.459861755371094,-0.0939369201660156
"2020-12-23 19:37:02.255071",-0.136756896972656,0.459671020507812,-0.0935554504394531
"2020-12-23 19:37:02.542560",-0.136947631835938,0.459766387939453,-0.0933647155761719
"2020-12-23 19:37:02.834667",-0.136756896972656,0.459671020507812,-0.0940322875976563
